Source,Harga lama,Harga baru,Judul,No. ISBN,"Penerbit									",Tanggal terbit,Jumlah Halaman,Berat,Jenis Cover,Dimensi(L x P),Kategori,Bonus,Text Bahasa
https://bukukita.com/Biografi-dan-Memoar/Memoar/93772-Fidel-&-Che-:-Persahabatan-Revolusioner-Tak-Tertandingi.html,Rp 97.000,Rp 92.150,Fidel & Che : Persahabatan Revolusioner Tak Tertandingi,9.78603E+12,Literati-books ,Juni - 2011,-,750 gr,Hard Cover,-,Memoar,-,Indonesia ··
https://bukukita.com/Buku-Novel/Romance/77368-Gardens-Of-Water.html,Rp 87.000,Rp 82.650,Gardens Of Water,978,Literati-books ,Februari - 2010,-,500 gr,Soft Cover,-,Romance,-,Indonesia ··
https://bukukita.com/Agama/Islam/124831-Mereka-Yang-Dicintai-Allah.html,Rp 59.000,Rp 56.050,Mereka Yang Dicintai Allah,9.78603E+12,Lentera Hati ,Mei - 2014,-,260 gr,Soft Cover,-,Islam,-,Indonesia ··
https://bukukita.com/Ekonomi-dan-Manajemen/Bisnis-Investasi/138109-Business-911.html,Rp 43.000,Rp 40.850,Business 911,9.78603E+12,Literati-books ,Oktober - 2015,-,200 gr,Soft Cover,-,Bisnis-Investasi,-,Indonesia ··
"https://bukukita.com/Buku-Novel/Perang/54902-A-Bridge-of-Birds-Perang-Vietnam,-Cinta,-dan-Jalinan-Antar-generasi-Prancis.html",Rp 39.500,Rp 37.525,"A Bridge of Birds - Perang Vietnam, Cinta, dan Jalinan Antar-generasi Prancis",97893064475,Alvabet ,Juli - 2007,362,350 gr,Soft Cover,140x210mm,Perang,-,Indonesia ··
https://bukukita.com/Agama/Islam/141375-Kumpulan-101-Kultum-Tentang-Islam.html,Rp 159.000,Rp 151.050,Kumpulan 101 Kultum Tentang Islam,9.78603E+12,Lentera Hati ,Maret - 2016,-,600 gr,Soft Cover,-,Islam,-,Indonesia ··
https://bukukita.com/Sejarah-dan-Budaya/Sejarah-Agama/147032-Chiefdom-Madinah:-Kerucut-Kekuasaan-pada-Zaman-Awal-Islam.html,Rp 99.000,Rp 94.050,Chiefdom Madinah: Kerucut Kekuasaan pada Zaman Awal Islam [Hard Cover],9.78603E+12,Alvabet ,Mei - 2016,428,750 gr,Hard Cover,-,Sejarah Agama,-,Indonesia ··
https://bukukita.com/Buku-Novel/Islam/154472-Hikayat-Arabia-Abad-Pertengahan:-Cerita-cerita-Menakjubkan-yang-Baru-Ditemukan-3.html,Rp 67.000,Rp 63.650,Hikayat Arabia Abad Pertengahan: Cerita-cerita Menakjubkan yang Baru Ditemukan #3 (2018),9.78603E+12,Alvabet ,Januari - 2018,-,370 gr,Soft Cover,-,Islam,-,Indonesia ··
https://bukukita.com/Busana-dan-Kecantikan/Aksesoris/124832-27-Model-Seri-Menjahit-Kerudung-Kreatif.html,Rp 36.000,Rp 34.200,27 Model Seri Menjahit Kerudung Kreatif,9.78603E+12,Lentera Hati ,Mei - 2014,-,150 gr,Soft Cover,-,Aksesoris,-,Indonesia ··
https://bukukita.com/Buku-Sekolah/Sekolah-Menengah-Pertama/133243-Smp-Mts-Kl-9-Buku-Ajaib-Sukses-Ujian-Semester-Semua-Pelajaran.html,Rp 79.000,Rp 75.050,Smp/Mts Kl 9 Buku Ajaib Sukses Ujian Semester Semua Pelajaran,9.78602E+12,Dunia Cerdas ,Maret - 2015,-,550 gr,Soft Cover,-,Sekolah Menengah Pertama,-,Indonesia ··
